pressure
0.0
HEADER
           8           8          16   127.61933600000000       0.0
          10          12          22   177.77056600000000       0.0
          12          14          26   216.68115000000000       0.0
          15          18          33   270.94800000000032       0.0
          14          16          30   255.61973399999999       0.0 
          16          17          33   280.42199499999998       0.0
          20          26          46   398.77377799999999       0.0
          22          28          50   437.78536200000002       0.0
          24          30          54   474.00894599999998       0.0
          25          47          72   560.30700000000797       0.0
          26          32          58   509.94952999999998       0.0
          26          33          59   502.76100000000224       0.0
          27          32          59   517.31349899999998       0.0
          28          34          62   545.26211400000000       0.0
          28          38          66   562.75200000000041       0.0
          30          36          66   578.13569800000005       0.0
          31          44          75   634.09200000000419       0.0
          32          40          72   628.68592799999999       0.0
          32          43          75   635.66900000000169       0.0
          32          46          78   660.52199999999721       0.0
          33          42          75   652.56554300000005       0.0
          34          44          78   679.98915799999997       0.0
          34          50          84   709.68200000000070       0.0
          36          48          84   732.26538800000003       0.0
          43          64         107   886.85800000000017       0.0
          44          63         107   890.28499999999622       0.0
          45          62         107   891.74200000000565       0.0
          46          61         107   916.01427699999999       0.0
